HH 30y or less,HH Female Married,HH 65y or more,HH Female Widow,HH Disabled or chronically ill,HH Minimal education,HH Advanced education,HH Intermediate education,Working age members,Disabled working age members,HH Size,HH Size_sq,Dependency ratio,Owns a car,HH lives in rural area,Governorate_Mafraq,Governorate_Amman,Governorate_Tafila,Governorate_Zarqa,Governorate_Balqa,Governorate_Maan,Governorate_Aqaba,Governorate_Karak,Governorate_Jerash,Governorate_Madaba,Governorate_Ajloun,SCORE,id_transfer,weights,caseser
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,0,0,0,0,0,0,1,0,0,0,0,4.059264705,119,60.83064729,3424569
0,0,0,0,0,0,0,0,3,0,9,81,2,1,1,0,0,0,0,0,0,0,1,0,0,0,4.765048762,120,28.55938335,3120979
0,0,0,0,0,1,0,0,5,0,11,121,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,3.909511797,121,106.6285116,1207719
0,0,0,0,0,0,0,0,2,0,7,49,2.5,1,1,1,0,0,0,0,0,0,0,0,0,0,4.748289398,122,50.51473921,2217859
0,0,0,0,0,0,0,0,2,0,6,36,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4.508672047,123,63.462424,3222099
0,0,0,0,1,0,0,0,2,0.5,6,36,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3.940048849,124,141.0176375,1207949
0,0,0,0,0,0,0,0,3,0,7,49,1.33,0,1,1,0,0,0,0,0,0,0,0,0,0,3.905493352,125,83.97255349,2217835
0,0,0,0,0,1,0,0,3,0,8,64,1.67,0,1,1,0,0,0,0,0,0,0,0,0,0,4.495834613,126,74.09624585,2216799
0,0,1,0,0,0,0,0,5,0,12,144,1.4,1,1,0,0,0,0,0,1,0,0,0,0,0,3.944331422,127,51.10548657,3323949
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4.510253733,128,49.19713216,3120791
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,4.448375798,129,152.5859243,2217529
0,0,0,0,0,1,0,0,2,0,9,81,3.5,1,1,0,0,0,0,0,0,0,0,0,0,1,4.332854092,130,156.6233356,2418585
1,1,0,0,0,0,0,1,1,0,5,25,4,0,1,0,0,0,0,1,0,0,0,0,0,0,4.483703745,131,59.12305956,1207171
0,0,0,0,0,1,0,0,2,0,8,64,3,1,0,1,0,0,0,0,0,0,0,0,0,0,4.825280648,132,97.87558689,2217325
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,4.027619831,133,207.0154292,3322721
0,0,0,0,0,1,0,0,2,0,8,64,3,0,1,0,1,0,0,0,0,0,0,0,0,0,5.100787929,134,120.2994125,1105229
0,0,1,0,0,0,0,0,3,0,9,81,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4.322436945,135,61.57280826,3120751
0,0,0,0,0,0,0,0,8,0,11,121,0.38,0,0,0,0,1,0,0,0,0,0,0,0,0,3.973050351,136,44.38165765,3222491
0,0,0,0,0,0,0,0,3,0,7,49,1.33,0,1,1,0,0,0,0,0,0,0,0,0,0,4.184787716,137,74.42379669,2217645
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,0,0,0,0,0,0,0,1,0,0,0,4.162140427,138,62.78830152,3121625
0,0,0,0,1,0,1,0,2,0.5,7,49,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,4.845348788,139,169.8641221,2216285
0,0,0,0,0,1,0,0,2,0,8,64,3,1,0,0,0,1,0,0,0,0,0,0,0,0,4.630198901,140,28.31867557,3222531
0,0,0,0,0,0,0,0,3,0,9,81,2,1,1,0,0,0,0,0,1,0,0,0,0,0,5.646950543,141,68.31342866,3323121
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5.108408354,142,586.6111544,2318229
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,4.116179826,143,128.0339197,1207771
0,0,0,0,0,1,0,0,2,0,8,64,3,1,1,0,0,0,0,0,0,0,1,0,0,0,4.583758446,144,37.99639698,3120989
0,0,0,0,0,0,0,0,7,0,10,100,0.43,0,1,1,0,0,0,0,0,0,0,0,0,0,3.579605995,145,90.61224526,2216385
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4.302403082,146,97.09383625,2419365
0,0,1,0,0,0,0,0,3,0,8,64,1.67,0,1,1,0,0,0,0,0,0,0,0,0,0,4.402357832,147,71.5310146,2217101
1,0,0,0,0,0,0,0,2,0,6,36,2,0,1,0,0,0,0,0,0,1,0,0,0,0,4.20694706,148,42.81510048,3424455
1,0,0,0,0,1,0,0,6,0,11,121,0.83,0,0,1,0,0,0,0,0,0,0,0,0,0,4.340216686,149,166.2557372,2215635
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.883600033,150,193.3470973,2113375
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.189518639,151,211.2532303,2113385
0,0,0,0,0,0,0,0,4,0,8,64,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3.858411578,152,46.717599,2216781
0,1,1,0,0,0,0,0,6,0,10,100,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,4.286919789,153,248.577581,2215935
0,0,0,0,0,0,0,0,7,0,12,144,0.71,1,0,0,0,0,0,0,0,1,0,0,0,0,4.08634032,154,52.84423369,3424579
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,0,0,0,0,1,0,0,0,0,0,0,4.7042292,155,413.5827373,1207865
0,0,1,0,0,0,0,0,1,0,5,25,4,0,1,0,0,0,1,0,0,0,0,0,0,0,4.282068834,156,96.91320754,1309539
0,0,0,0,0,0,0,0,5,0,9,81,0.8,0,1,1,0,0,0,0,0,0,0,0,0,0,4.643726239,157,85.0423756,2217415
0,0,0,0,0,1,0,0,2,0,7,49,2.5,1,1,0,0,0,0,1,0,0,0,0,0,0,5.165803951,158,277.8783217,1207635
0,0,1,0,0,0,0,0,3,0,8,64,1.67,0,1,1,0,0,0,0,0,0,0,0,0,0,4.220303672,159,87.65320968,2216455
0,0,0,0,0,0,0,0,5,0,9,81,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,3.896048034,160,351.8497138,1206719
0,0,0,0,0,1,0,0,9,0,14,196,0.56,1,1,0,0,0,0,0,1,0,0,0,0,0,4.473072432,161,28.22479493,3323235
0,0,0,0,0,1,0,0,3,0,8,64,1.67,0,1,1,0,0,0,0,0,0,0,0,0,0,4.649762012,162,68.80950351,2217251
0,0,0,0,0,1,0,0,4,0,10,100,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,4.280801003,163,44.13520219,3120949
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,4.2324104,164,452.3252379,1206702
0,0,0,0,0,1,0,0,3,0,9,81,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4.457350402,165,87.69515351,3120731
0,0,0,0,0,1,0,0,4,0.25,9,81,1.25,0,1,0,0,0,0,0,0,0,1,0,0,0,4.095450226,166,41.72347411,3121045
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,4.530759071,167,59.87682963,2217395
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,4.665797434,168,60.10594682,2217711
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,1,0,1,0,0,0,0,0,0,0,0,0,3.722910582,169,260.8193831,1105759
0,0,0,0,0,1,0,0,2,0,8,64,3,1,0,1,0,0,0,0,0,0,0,0,0,0,4.336975141,170,227.2161741,2215725
0,0,0,0,0,1,0,0,5,0,11,121,1.2,1,1,1,0,0,0,0,0,0,0,0,0,0,4.703518094,171,54.85925077,2216345
0,0,0,0,0,0,0,0,3,0,8,64,1.67,1,1,0,0,1,0,0,0,0,0,0,0,0,4.177896147,172,135.2924725,3222381
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4.424003922,173,104.7052202,2419351
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,0,0,0,0,0,1,0,0,0,0,0,3.928559127,174,46.68768159,3323691
0,0,1,0,0,0,0,0,4,0,10,100,1.5,1,1,0,0,0,0,1,0,0,0,0,0,0,4.307473774,175,170.1227233,1207675
0,0,0,0,1,1,0,0,2,0.5,7,49,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,4.520401983,176,175.6107801,2113429
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,0,0,0,0,0,0,0,1,0,0,0,4.476168435,177,183.4988513,3120245
